年月日,时分秒,纬度,经度,深度,震级,震中参考地名
2014/7/30,19:31.,40.54,116.47,6,1.4,北京怀柔
2014/8/7,58:28.,40.06,116.3,6,1.7,北京海淀
2014/8/9,18:38.,39.98,116.33,8,1.1,北京海淀
2014/8/9,40:01.,39.99,116.3,9,1.1,北京海淀
2014/8/15,06:37.,39.98,116.67,6,1.7,北京通州
2014/8/21,45:28.,40.53,116.24,8,2.9,北京延庆
2014/8/23,13:12.,40.25,116.46,6,2.5,北京昌平
2014/8/28,49:16.,40.05,116.34,6,1.5,北京海淀
2014/8/28,49:19.,40.04,116.34,6,1.8,北京海淀
2014/9/10,36:23.,39.94,115.87,0,2.7,北京门头沟
2014/9/14,51:47.,40.06,116.28,6,1.1,北京海淀
2014/10/4,49:23.,40.49,115.92,7,1.3,北京延庆
2014/10/6,28:23.,39.92,116.53,7,1.6,北京朝阳
2014/10/13,30:59.,39.91,115.78,0,2.5,北京房山
2014/10/13,52:23.,40.06,116.88,6,1.2,北京顺义
2014/10/25,50:30.,39.79,116.26,6,1.4,北京大兴
2014/10/26,14:27.,40.13,116.33,11,1.3,北京昌平
2014/10/29,41:54.,40,116.18,6,1.3,北京海淀
2014/10/30,34:13.,40.11,116.24,5,1.5,北京海淀
2014/11/6,50:20.,40.19,115.91,27,1.5,北京昌平
2014/11/7,50:37.,40.71,116.21,5,1.7,北京延庆
2014/11/13,09:08.,40.43,116.82,14,1.9,北京密云
2014/11/14,07:31.,40.21,116.63,7,1.2,北京顺义
2014/11/17,47:51.,39.62,116.41,6,1.4,北京大兴
2014/11/25,31:18.,40.25,116.86,6,1.2,北京顺义
2014/12/21,55:43.,39.82,116.78,4,1.4,北京通州
2015/1/14,48:47.,40.15,115.88,8,2.1,北京昌平
2015/1/15,24:09.,40.35,116.43,7,2,北京怀柔
2015/1/15,52:04.,40.13,115.91,18,1.1,北京门头沟
2015/1/16,12:17.,40.34,116.44,14,1.8,北京怀柔
2015/1/25,28:43.,40.15,116.14,22,1.4,北京昌平
2015/1/27,14:30.,40.22,116.59,9,1.2,北京顺义
2015/1/31,28:56.,39.62,116.63,18,1.2,北京大兴
2015/1/31,26:46.,39.54,116.47,18,3.2,北京大兴
2015/2/21,02:03.,40.08,117.01,7,1.1,北京平谷
2015/3/4,44:12.,40.62,116.45,12,1.7,北京延庆
2015/3/10,18:48.,40.2,116.42,19,2.3,北京昌平
2015/3/10,19:08.,40.11,116.24,22,1.1,北京昌平
2015/3/15,24:34.,40.42,116.91,10,1.2,北京密云
2015/3/19,08:32.,40.39,116.37,17,1.2,北京怀柔
2015/3/29,04:25.,39.96,116.21,10,1.2,北京海淀
2015/4/6,42:21.,40.34,116.45,9,1.2,北京怀柔
2015/4/9,10:23.,39.94,115.88,0,2.7,北京门头沟
2015/4/12,12:53.,40.32,116.48,3,1,北京怀柔
2015/4/12,54:21.,40.12,117.23,6,1.5,北京平谷
2015/4/14,30:51.,39.82,116.8,13,2.5,北京通州
2015/4/17,26:57.,40.04,116.26,11,1.5,北京海淀
2015/4/17,26:59.,40.05,116.25,12,1.8,北京海淀
2015/4/20,21:19.,39.9,115.79,0,2.5,北京房山
2015/4/23,39:10.,39.76,116.81,16,1.2,北京通州
2015/4/25,03:20.,40.09,117.05,0,1,北京平谷
2015/4/26,10:54.,40.33,116.63,10,1.3,北京怀柔
2015/4/28,31:04.,40.23,116.49,10,1.3,北京顺义
2015/5/6,14:22.,40.09,115.63,13,1.1,北京门头沟
2015/5/6,21:54.,39.49,116.3,21,2.2,北京大兴
2015/5/15,33:39.,40.37,116.1,1,1.8,北京延庆
2015/5/25,00:49.,40.13,117.1,18,1.6,北京平谷
2015/5/30,17:09.,40.1,115.94,16,1.5,北京门头沟
2015/5/30,09:20.,40.02,116.21,8,1.2,北京海淀
2015/6/5,54:13.,39.57,116.39,17,1.7,北京大兴
2015/6/7,41:57.,39.58,116.41,13,1,北京大兴
2015/6/8,09:14.,40.16,116.59,10,1.4,北京顺义
2015/6/9,46:44.,39.77,115.63,18,1.4,北京房山
2015/6/12,47:58.,40.03,116.48,17,1.1,北京朝阳
2015/6/14,44:42.,39.97,115.92,17,1.6,北京门头沟
2015/6/20,01:14.,40.14,117.33,15,1.3,北京平谷
2015/6/22,32:44.,40.44,116.49,25,1,北京怀柔
2015/6/25,40:33.,40.16,116.22,19,1.2,北京昌平
2015/7/1,59:24.,40.07,116.62,14,1.1,北京顺义
2015/7/8,32:23.,40.47,116.49,17,1.2,北京怀柔
2015/7/11,32:12.,40.6,116.24,8,1.8,北京延庆
2015/7/12,42:34.,39.49,116.37,19,1,北京大兴
2015/7/22,06:26.,40.1,116.16,15,1.2,北京海淀
2015/7/23,26:00.,40.46,116.5,19,1.2,北京怀柔
2015/8/1,19:09.,40.09,116.23,15,1.2,北京海淀
2015/8/6,04:06.,40.06,115.92,24,1,北京门头沟
2015/8/11,00:03.,40.25,116.41,6,1.5,北京昌平
2015/8/14,41:07.,40.54,116.36,13,1.3,北京延庆
2015/8/15,42:09.,40.05,116.26,5,1.8,北京海淀
2015/8/16,23:16.,40.13,116.35,12,1.2,北京昌平
2015/8/19,23:51.,40.25,117.06,15,1.9,北京平谷
2015/8/25,42:39.,39.94,115.62,16,2.2,北京门头沟
2015/8/25,30:14.,40.42,116.37,17,1.1,北京怀柔
2015/9/3,00:07.,40.22,115.92,15,1.5,北京昌平
2015/9/4,55:46.,39.52,116.35,18,1.6,北京大兴
2015/9/19,30:45.,39.95,116.55,12,1.4,北京朝阳
2015/9/24,14:40.,40.19,116.02,18,1.4,北京昌平
2015/9/26,13:07.,39.75,115.49,11,1.5,北京房山
2015/9/26,13:26.,39.76,115.5,18,1,北京房山
2015/10/2,14:34.,40.09,116.62,10,1.1,北京顺义
2015/10/21,50:08.,40.31,115.97,10,2.2,北京延庆
2015/11/6,48:27.,39.97,116.21,10,1,北京海淀
2015/11/17,42:56.,40.03,117,9,1,北京平谷
2015/11/21,18:16.,40.01,116.24,10,2.3,北京海淀
2015/11/26,35:21.,40.63,116.38,9,1.6,北京延庆
2015/11/27,07:42.,40.03,116.99,11,1.4,北京平谷
2015/12/13,46:08.,40.05,117.02,10,1,北京平谷
2015/12/13,47:46.,39.95,116.18,13,2.2,北京石景山
2015/12/13,02:51.,39.86,115.68,6,1.2,北京房山
2015/12/24,11:06.,39.81,116.82,17,1,北京通州
2016/1/14,20:18.,40.11,116.39,20,1.9,北京昌平
2016/1/19,33:19.,40.17,116.65,18,1.4,北京顺义
2016/1/20,59:48.,40.6,115.95,25,1,北京延庆
2016/1/22,31:58.,40.07,117.05,13,1.2,北京平谷
2016/1/25,26:59.,40.19,116.22,17,1.7,北京昌平
2016/2/18,29:09.,39.55,116.39,19,1.1,北京大兴
2016/2/25,30:50.,40.39,117.16,1,1.9,北京密云
2016/2/26,27:39.,40.08,116.27,15,1.4,北京昌平
